Gene	Adj. R Squared	Slope	p-value
rno-miR-338-3p	-0.086939019	-3.454914896	0.736041395
rno-miR-1193-3p	-0.087311335	0.00705575	0.739714004
rno-miR-674-3p	-0.087465902	0.035453067	0.741255983
rno-miR-471-5p	-0.087891546	0.004830077	0.745556712
rno-miR-186-5p	-0.088045634	0.004228154	0.747133894
rno-miR-188-5p	-0.088170349	0.004872182	0.748418548
rno-miR-741-5p	-0.088429697	-0.003879202	0.751113773
rno-miR-10b-5p	-0.08886008	0.005614542	0.755659763
rno-miR-203a-3p	-0.089403858	-0.02658619	0.761541521
rno-miR-384-5p	-0.090090933	-0.157624903	0.769210867
rno-miR-3547	-0.090097981	0.003400663	0.769290991
rno-miR-3580-3p	-0.090733997	0.005197824	0.77665187
rno-miR-678	-0.090892548	0.004160816	0.778528586
rno-miR-667-3p	-0.091294322	0.13897663	0.783363696
rno-miR-294	-0.091497085	0.008398846	0.785848955
rno-miR-15b-5p	-0.091761615	-0.089008092	0.789139092
rno-miR-365-3p	-0.092326449	-0.025084252	0.796356971
rno-miR-499-5p	-0.092478806	-0.122198095	0.798351643
rno-miR-324-5p	-0.093442651	0.051412118	0.811495677
rno-miR-1224	-0.09364133	-0.077789749	0.814328781
rno-let-7b-5p	-0.094259312	-0.883407481	0.823449929
rno-miR-219a-1-3p	-0.094493423	0.003155713	0.827038375
rno-miR-130a-3p	-0.094616199	-0.099172974	0.828952055
rno-let-7c-5p	-0.094845229	-0.82812127	0.832583459
rno-miR-21-5p	-0.094880575	0.076906425	0.833151306
rno-miR-222-3p	-0.095063567	0.014889434	0.836124141
rno-miR-194-5p	-0.095550337	0.015681855	0.844321857
rno-miR-450a-5p	-0.095590263	-0.027047748	0.845014388
rno-miR-214-3p	-0.095654706	0.002365788	0.846139016
rno-miR-674-5p	-0.096293733	0.014046005	0.857792315
rno-miR-325-5p	-0.096409728	-0.008252281	0.86001568
rno-miR-1188-3p	-0.096671509	0.002399222	0.865172963
rno-miR-632	-0.096822176	0.003740679	0.868235793
rno-miR-342-3p	-0.096850026	0.224857804	0.868810025
rno-miR-100-5p	-0.09691946	-0.138983053	0.87025308
rno-miR-381-3p	-0.097060339	-0.004300504	0.873232965
rno-miR-431	-0.097184198	-0.032899105	0.875913692
rno-let-7d-5p	-0.097318285	1.916998741	0.878884529
rno-miR-10a-5p	-0.097323146	0.00924268	0.878993628
rno-miR-802-5p	-0.097572122	0.004373608	0.88472365
rno-miR-299a-5p	-0.097685265	-0.003825215	0.887426292
rno-miR-22-3p	-0.097809711	-0.940423062	0.890477723
rno-miR-138-5p	-0.098028943	-0.091657267	0.896075806
rno-miR-3583-5p	-0.098049468	0.003021333	0.896615736
rno-miR-26a-5p	-0.098326639	0.010026679	0.904210367
rno-miR-136-5p	-0.098741095	0.150090249	0.916873751
rno-miR-3120	-0.098913796	-0.001631336	0.922769596
rno-miR-99a-5p	-0.098939854	-0.104191235	0.923699182
rno-miR-153-3p	-0.099093473	0.080894817	0.929430437
rno-miR-144-3p	-0.099128635	0.009075882	0.930809624
rno-miR-451-5p	-0.099146022	-0.007958168	0.931501962
rno-miR-344b-5p	-0.099185505	-0.003084247	0.933100974
rno-miR-3543	-0.099219114	0.000822619	0.9344931
rno-miR-652-3p	-0.099404035	0.022566918	0.942759844
rno-miR-675-5p	-0.099431759	0.000726785	0.944105197
rno-miR-344a-5p	-0.099436848	0.00100588	0.944355691
rno-miR-103-3p	-0.099525853	-0.025190732	0.948936405
rno-miR-219b	-0.099553575	-0.000740208	0.950450027
rno-miR-883-3p	-0.099620347	0.00062964	0.954301956
rno-miR-129-5p	-0.099661416	-0.012419664	0.956842177
rno-miR-542-5p	-0.09990451	-0.000806445	0.977073773
rno-miR-299b-5p	-0.099969035	-0.000786035	0.98694367
rno-miR-204-5p	-0.099984992	-0.05601442	0.990910252
rno-miR-29b-3p	-0.099985006	0.163673317	0.990914381
rno-miR-23b-3p	-0.099995644	0.003081716	0.995102627
rno-miR-758-3p	-0.099996033	-0.000494619	0.99532655
rno-miR-3564	-0.099996931	9.56E-05	0.995889259
